headlines,outcome
French doctors protest after discovering COVID-19 pandemic is a fraud.,0
"A picture showing the Italian Prime Minister Giuseppe Conte, the French President Emmanuel Macron and the German Chancellor Angela Merkel having a drink together, with no masks and not respecting social distancing measures.",0
"A person who visited Badusha Hypermarket, Perambra was found COVID-19 positive and hence all those who have visited the hypermarket on 16th July 2020 are asked to report to Perambra Taluk Hospital.",0
"Obama, Dr. Fauci visited Wuhan lab in 2015",0
Neem tea is the â€˜solutionâ€™ for COVID-19,0
Covid 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,0
"A publication that claims that in 1918 the American city of Philadelphia â€œprematurely ended its quarantine of the Spanish flu and launched a demonstration against the measures of staying at homeâ€, which led to a peak of infections, hospitalizations and deaths.",0
Covid 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,0
A picture of the coronavirus-infected patientâ€™s throat.,0
An image in which two people turn their backs to the State ceremony that took place this July 16 in honor of the victims of COVID-19. He moves with a message that they are members of Podemos who turned around while King Felipe VI spoke.,0
"A car blew up in BelÃ©m, Brazil, because the driver cleaned his key with alcohol-based hand sanitizer.",0
COVID-19 asymptomatic carriers transmit antibodies to other people.,0
WHO changed its directives: No need to isolate infected people.,0
A photo that shows Brazilian president Jair Bolsonaro hospitalized with a tube coming out of his nose. The caption links this photo to COVID-19.,0
There is no evidence that Mentholatum and eucalyptus prevent the development of COVID-19 in the human body.,0
Podemos politicians turned around at the state ceremony for COVID-19 victims,0
"Porto Feliz, a Brazilian city in the state of SÃ£o Paulo, doesnâ€™t register deaths from COVID-19 since it adopted a treatment protocol with chloroquine.",0
"The governor of Bahia, Rui Costa, determined that all hydroxychloroquine tablets were confiscated from pharmacies around the state.",0
"A quote by doctor Alberto Zangrillo, saying that Covid-19 is a consequence of immigration.",0
For a couple of days a message has been circulating in which users are invited to make a request for help to the National Government through a form in the Colombian government,0
"The â€œMozhemeâ€ coalition is connected to the newly infected COVID-19 patients, although it has nothing to do with this issue.",0
A map of Sri Lanka was shared with certain cities highlighted as the places visited by close contacts of Kandakadu COVID19 cluster,0
A map of Sri Lanka was shared with certain cities highlighted as the places visited by close contacts of Kandakadu COVID19 cluster,0
For a couple of days a message has been circulating in which users are invited to make a request for help to the National Government through a form in the Colombian government,0
A photo that shows Brazilian president Jair Bolsonaro hospitalized with a tube coming out of his nose. The caption links this photo to COVID-19.,0
A picture of the coronavirus-infected patientâ€™s throat.,0
Facebook posts shared thousands of times claim that the US Federal Emergency Management Agency (FEMA) is offering hazard pay compensation to individuals who worked during the novel coronavirus pandemic.,0
Doctors can steal your fingerprints or data with the pulse oximeter,0
Extensive mask wearing weakens the immune system because you canâ€™t breathe properly through them,0
Some statements by the American political scientist and activist Susan George in which she says that â€œSpaniards are laboratory rats: letâ€™s see how much punishment they tolerate without rebelling.â€ The phrase is shared related to the current coronavirus pandemic.,0
Singaporeâ€™s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.,0
US Education Secretary Betsy DeVos said children are â€œstoppersâ€ of coronavirus.,0
The city of Manizales estimated its cycloband during COVID-19 greatly reduced greenhouse gas emmissions.,0
French Prime Minister and Health Minister were expelled from the government after banning chloroquine in the country.,0
Chinese scientists have publicly stated that the coronavirus is lab-made,0
"A video with text that claims to offer information about the coronavirus that â€œcomes from the Japanese Ministry of Health.â€ It claims that when the first symptoms of the infection appear, the lungs already show 50% fibrosis.",0
PCR tests damage hemato encephalic barrier,0
COVID-19 hospital flooded in Bihar,0
US Education Secretary Betsy DeVos said children are â€œstoppersâ€ of coronavirus.,0
PCR tests damage hemato encephalic barrier,0
5G technology creates coronavirus in human cells,0
Singaporeâ€™s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.,0
Extensive mask wearing weakens the immune system because you canâ€™t breathe properly through them,0
Some statements by the American political scientist and activist Susan George in which she says that â€œSpaniards are laboratory rats: letâ€™s see how much punishment they tolerate without rebelling.â€ The phrase is shared related to the current coronavirus pandemic.,0
A supposed doctor recommends in a video inhaling â€œantiseptic alcoholâ€ to â€œfight the new coronavirusâ€,0
A video of a man attacking a cashier at a McDonaldâ€™s restaurant has been viewed thousands of times in multiple posts on Facebook alongside a claim it happened in Singapore.,0
The private health system began offering antibody tests to detect COVID-19. At the same time that the Ministry of Health said it would buy antigen tests.,0
A video claims Italy discovered that COVID-19 is bacteria not a virus,0
Video says face masks are ineffective in mitigating transmission of COVID-19 and are harmful to the wearer.,0
"Anthony Fauci is married to the sister of Ghislaine Maxwell, who was arrested in the U.S on charges of human trafficking.",0
The swabs used in COVID-19 RT-PCR testes can damage your blood-brain barrier.,0
Average daily deaths recorded in Brazil in 2020 is lower than 2019.,0
The swabs used in COVID-19 RT-PCR testes can damage your blood-brain barrier.,0
Video says face masks are ineffective in mitigating transmission of COVID-19 and are harmful to the wearer.,0
The coronavirus is an amplified bacterium and is related to 5G.,0
Average daily deaths recorded in Brazil in 2020 is lower than 2019.,0
A video of a man attacking a cashier at a McDonaldâ€™s restaurant has been viewed thousands of times in multiple posts on Facebook alongside a claim it happened in Singapore.,0
A text that ensures that the guava tree leaf can â€œprevent or reverseâ€ the effects of COVID-19.,0
An article stating that 25 police officers tested positive to Covid-19 after assisting positive migrants.,0
A student from Pondicherry University has found a home remedy for COVID-19 that has been accepted by World Health Organization (WHO),0
Ghanaâ€™s president said the coronavirus was created in a laboratory.,0
A supposed doctor recommends in a video inhaling â€œantiseptic alcoholâ€ to â€œfight the new coronavirusâ€,0
Ecuador found the cure for coronavirus.,0
"Anthony Fauci is married to the sister of Ghislaine Maxwell, who was arrested in the U.S on charges of human trafficking.",0
"The new vaccine contains â€œRNAâ€ Digitizable replicator that is activated with 5g, so that the virus can reactivate after the patient recovers",0
Nasser Ziberi tested positive for COVID-19,0
"A photo claims to show Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.",0
"An image that claims that an alleged therapy called biomagnetism is capable can wipe out â€œall kinds of viruses, bacteria, fungi and parasitesâ€, including the coronavirus â€œquickly and effectively.â€",0
"The new vaccine contains â€œRNAâ€ Digitizable replicator that is activated with 5g, so that the virus can reactivate after the patient recovers",0
Nasser Ziberi tested positive for COVID-19,0
A web article stating that Kazakhstan is dealing with a new outbreak of a particular kind of pneumonia which is â€œmore dangerous than Covid-19â€.,0
A student from Pondicherry University in India has found a home remedy for COVID-19 that has been accepted by World Health Organization (WHO).,0
"The mayor of Porto Alegre, Brazil, removed the benches of RedenÃ§Ã£o Park as a measure against people meeting up.",0
"A photo claims to show Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.",0
Deaths from other causes are â€˜passedâ€™ as COVID-19.,0
"A 15-minute video in which the President of the Republic of Ghana, Nana Akufo-Addo, allegedly reveals that the coronavirus has been created in a laboratory and spread throughout the world.",0
"Biggest public hospital in Fortaleza (CearÃ¡, Brasil) has no covid-19 patients.",0
A press release from the Chinese Embassy in Kazakhstan alerting to an alleged new pneumonia whose case fatality rate is â€œmuch higherâ€ than that of COVID-19.,0
"The WHO approved a Chinese vaccine against COVID-19 that costs US$10000 per dose; it also forbade tests with an American vaccine, which would be given at very low cost.",0
Doctors perfoms a c-section in COVID-19 pacient and give birth to a baby without cuttin the membrane that protects him as a way to prevent contamination,0
"Photo shows former President Barack Obama, Dr. Anthony Fauci and Melinda Gates at the â€œWuhan lab in 2015.â€",0
Masks produce hypoxia and hypercapnia.,0
"Photo shows former President Barack Obama, Dr. Anthony Fauci and Melinda Gates at the â€œWuhan lab in 2015.â€",0
Video claims that Brazilian media outlets choose irrelevant scientists to talk about the pandemic.,0
The U.S. government has approved a second round of coronavirus stimulus payments to everyone who signs up â€” and that the money will be forthcoming in â€œ5-7 business days.â€,0
The WHO claimed that â€œmaybe there was no need for a lockdownâ€.,0
Claim that Secretary of Education Betsy DeVos said â€˜onlyâ€™ .02% of kids are likely to die when they go back to school during the pandemic.,0
WHO warns that wearing masks is unnecessary for healthy people.,0
"Fiocruz, a Brazilian state-owned science institute, developed the ChAdOx1 nCov-2019. Then, they offered it to Oxford University, because they were not getting any support from Jair Bolsonaro.",0
"Home treatment based in ivermectin, chloroquine, azithromycin and vitamins can cure the infection caused by the novel coronavirus.",0
"Manuel Elkin Patarroyo, a famous Colombian scientific, wrote a message about the coronavirus and sided against the WHO.",0
A claim that a video Amitabh Bacchan praising Nanavathi Hospital COVID warriors was just released.,0
Masks are dangerous,0
Africa managed the pandemic by prescribing ivermectin.,0
Covid-19 test using a swab is used to â€œcollect DNAâ€ from the population.,0
Seasonal influenza vaccination will be mandatory in Georgia this fall. COVID-19 mortality rates are significantly lower than the fatalities caused by other viruses.,0
A video shows monkeys attacking Gandhi Hospital in Hyderabad,0
Seasonal influenza vaccination will be mandatory in Georgia this fall. COVID-19 mortality rates are significantly lower than the fatalities caused by other viruses.,0
Claim that Secretary of Education Betsy DeVos said â€˜onlyâ€™ .02% of kids are likely to die when they go back to school during the pandemic.,0
Covid-19 test using a swab is used to â€œcollect DNAâ€ from the population.,0
"Telangana celebrity, lyricist Suddala Ashok Teja died due to a coronavirus infection.",0
"The youngest patient who died from COVID-19 in Macedonia, at the age of 24, was actually a victim of medical negligence.",0
Deaths from COVID-19 are nearing zero in the U.S.,0
Sechenov First Moscow State Medical University in Russia has completed the clinical trials for the â€œworldâ€™s first COVID-19 vaccine.â€,0
"Mayor of Cali, Colombia, will close the city for 14 days due to coronavirus.",0
Pistol shaped infrared themometers are dangerous and can burn neurons.,0
A fake document which says that the Italian government is extending the state of emergency until Spring 2021.,0
The COVI-PASS mobile application is collaborating with the Portuguese Government.,0
"PAHO, the PanAmerican health organisation, has conducted studies of Ivermectin and there is scientific evidence of its efficacy against Covid-19.",0
Publications suggest it would be better to test for COVID-19 with saliva than through the nose,0
Adidas is donating shoes in a campaign against the new coronavirus.,0
Telangana Chief Minister is being treated for COVID-19 infection in Yashoda Hospitals,0
The new coronavirus settles faster in a dry throat.,0
Helicopters will fly over the entirety of Luzon to spray unspecified substances against the coronavirus.,0
"While everyone was worried about COVID-19, the Chamber of Deputies approved two bills which legalize abortion.",0
"Masks are causing us to breathe the waste from our own body, which favors cancer, causes hypoxia or intoxicates the blood.",0
Lemon Juice cures COVID-19,0
UK nurse gives recommendations for treating coronavirus.,0
French doctors protested by throwing away their vests after finding out COVID-19 is a fraud.,0
"Ivermectin, chloroquine and nitazoxanide (sold in Brazil under the name Annita) prevent the multiplication of the novel coronavirus if taken at the beginning of Covid-19 symptoms.",0
The new coronavirus was created in a laboratory.,0
"The cases of COVID-19, the disease caused by the novel coronavirus, is not real and was planned by US billionaire Bill Gates to push the use of vaccines and microchip implants.",0
Consuming alcohol beverages or vodka will reduce risk of COVID-19 infection.,0
Eiffel tower reopens with hommage to COVID-19 deaths.,0
"Edouard Philippe, Franceâ€™s ex-prime minister, is being sued because he forbade hydroxychloroquine in the country.",0
Publications suggest it would be better to test for COVID-19 with saliva than through the nose,0
Adidas is donating shoes in a campaign against the new coronavirus.,0
Wearing a mask can cause a fungal infection.,0
"â€˜Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID-19 vaccine. They have confidence in their productâ€™",0
"â€˜Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID-19 vaccine. They have confidence in their productâ€™",0
Post claiming coronavirus affected patients in Chinniyampalayam and Vellalore get cured within a day by consuming this herbal Mysore pak,0
Consuming alcohol beverages or vodka will reduce risk of COVID-19 infection.,0
"â€˜Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID-19 vaccine. They have confidence in their productâ€™",0
Senior officials of Rajasthan police visited Ajmer Sharif Dargah,0
A viral pamphlet claims Herbal Mysore Pak (a south Indian sweet) can cure COVID-19.,0
The bubonic plague is airborne and can spread when an infected person coughs.,0
A WhatsApp message says that coronavirus is being transmitted in wastewater.,0
Post claiming coronavirus affected patients in Chinniyampalayam and Vellalore get cured within a day by consuming this herbal Mysore pak,0
"A text about how no one is to be blamed for the pandemic in Brazil written by Mario Sergio Cortella, a Brazilian writer and philosophy professor.",0
Senior officials of Rajasthan police visited Ajmer Sharif Dargah,0
Consuming alcohol beverages or vodka will reduce risk of COVID-19 infection.,0
Using nasopharyngeal swabs for COVID-19 testing is unnecessary; saliva samples from mouth swabs is an equivalent substitute,0
1918 fluâ€™s second wave was more letal than the first but it was not because people stooped all precaution measures,0
"â€˜Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID-19 vaccine. They have confidence in their productâ€™",0
A publication in Macedonian claims that â€œCOVID-19 IS NOT A VIRUSâ€ and that the Italians are the first to find the cure.,0
"A picture of Brazilian president Jair Bolsonaro in a hospital bed, which would show his condition after testing positive for Covid-19.",0
"A video of an excerpt from an American television program in which the presenter criticizes the use of masks and, as part of that criticism, supposedly measures the oxygen levels inside the mask that a child is wearing.",0
Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,0
"Health authorities recommend that you throw a teaspoon of bleach inside every toilet, sink and drain. This helps preventing the SARS-CoV-2 to enter your house through the sewer.",0
There is a pharmaceutical cure for COVID-19.,0
"Health authorities recommend that you throw a teaspoon of bleach inside every toilet, sink and drain. This helps preventing the SARS-CoV-2 to enter your house through the sewer.",0
Coffee cures the coronavirus.,0
A publication in Macedonian claims that â€œCOVID-19 IS NOT A VIRUSâ€ and that the Italians are the first to find the cure.,0
"A painting in which people with face masks of the flags of different countries appear, assuring that it is a â€œmural of the Denver airport painted in 1994â€, as if it had predicted the current coronavirus pandemic.",0
"A video of an excerpt from an American television program in which the presenter criticizes the use of masks and, as part of that criticism, supposedly measures the oxygen levels inside the mask that a child is wearing.",0
"Claim that Universidad de Antioquia (UdeA), in Colombia, predicted â€˜almost a thousand deaths per dayâ€™ at the peak of COVID-19.",0
Wearing a mask can cause a fungal infection.,0
5G spreads the new coronavirus.,0
The Universal Church of the Kingdom of God published a note stating that healing sessions were suspended due to COVID-19.,0
"An image circulating via WhatsApp discloses false information about the dates on which, supposedly, the Protect bonus will be deposited in accounts of Costa Rican citizens.",0
Eating highly alkaline foods can defeat COVID-19. SARS-CoV-2 has a pH level of between 5.5 and 8.5.,0
Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,0
Pandemics occur once every century.,0
Prisioners temporarily released because of COVID-19 were responsible for 13.9% of all murders in Brazil in April 2020.,0
Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian cityâ€™s response to the coronavirus pandemic.,0
5G spreads the new coronavirus.,0
Eating highly alkaline foods can defeat COVID-19. SARS-CoV-2 has a pH level of between 5.5 and 8.5.,0
"If you have symptoms of Covid-19, take azithromycin, ivermectin and acetylcysteine.",0
Dr. Bilgehan Bilgeâ€™s claims about the use of masks,0
David Icke says the pandemic was caused by 5g technology.,0
Governor of the Brazilian state of Bahia dismissed a doctor who appealed to President Jair Bolsonaro for chloroquine.,0
A text circulating in Macedonian that says that â€œnew research has shaken the world and that something terrible has been discovered about coronavirus and the human immunity.â€,0
The low number of deaths from COVID-19 in Japan is due to the â€œdifference in the level of â€˜social standardsâ€™ between Japan and other countriesâ€.,0
An image in which it is stated that kisses and hugs do not increase the risk of transmission of covid-19.,0
A video claims COVID-19 patients are sitting in the hospital corridor of Gandhi Hospital in Hyderabad,0
The Philippines does not have the fastest rising number of COVID-19 cases in the Western Pacific Region as classified by the World Health Organization.,0
Flamingos gather in Venice as there are no tourists around the water channels due to the pandemic.,0
A COVID-19 sensor or â€œtrackerâ€ has been inserted in Android cellphones and iPhones.,0
The vaccine for coronavirus is ready (as of July 7).,0
Dr. Bilgehan Bilgeâ€™s claims about the use of masks,0
An article claiming that â€œBill Gatesâ€™ vaccineâ€ would modify human DNA.,0
A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.,0
An image that states that the Costa Rican government prohibited the sale of liquor due to the pandemic.,0
Democrats to blame for Covid-19 related deaths. They control the drugs against the virus.,0
Banana blocks the entrance of the coronavirus in cells,0
A post is circulating on Facebook of a supposed page of the argentine bank â€œBanco Provinciaâ€ that requests access to a link to re-enter personal data for alleged problems in home banking linked to the COVID-19 crisis.,0
"A study proves that ivermectin helped the number of COVID-19 cases decrease in Natal, Brazil.",0
"Infant deaths decreased dramatically during the lockdown, when the number of vaccines administered was reduced; vaccines are a cause of sudden infant death syndrome",0
"A message claims many physicians of Chang Gung Hospital, in Taiwan, are secretly under quarantine for COVID-19, indicating the local transmission and the lack of transparency of government data.",0
US builds biological labs only on the territories of other countries.,0
Coronavirus comes from a laboratory in Wuhan and is a commercial strategy of China.,0
WHO backtracked and released a document stating masks are not efficient to protect healthy people against COVID-19.,0
No one has died from the coronavirus; there are no antibodies that identify SARS-CoV-2; pathologists have no means of verifying whether a person was infected with SARS-CoV-2; SARS-CoV-2 has not fulfilled Kochâ€™s postulates.,0
"If you have symptoms of COVID-19, you should self-medicate with chloroquine and azithromycin and take zinc and vitamin C and D supplements.",0
WHO backtracked and released a document stating masks are not efficient to protect healthy people against COVID-19.,0
US builds biological labs only on the territories of other countries.,0
Face masks donâ€™t â€œprotect against covid19 and other viruses.â€,0
Prosecutor Fatime Fetai tested positive for COVID-19,0
The leaves of the guava tree prevent and reverse the new coronavirus.,0
"Homeless man in Punkunnam, Kerala, India, tested positive for COVID-19.",0
"As part of vaccine trials, Dr. V.K. Srinivasan of Bharath Biotech took the COVID-19 vaccine",0
A post stating that a local magazine in Ecuador revealed corruption in test purchase for COVID-19.,0
"There is a Nipah Virus outbreak in India amidst coronavirus pandemic, according to a warning form the WHO.",0
Actor Chuck Norris died of COVID-19.,0
There is microchip that will be implanted in the future coronavirus vaccine to control the population for political and economic purposes.,0
Antibodies for the common cold produce a positive COVID-19 test. False-positive results from COVID-19 antibody testing are behind the COVID-19 cases reported in the U.S.,0
Audio message circulating on WhatsApp saying that clinics and hospitals are looking for asthma patients to get sick from COVID-19.,0
Brazilian congressman JoÃ£o Campos denied using elections fund in measures to prevent COVID-19.,0
"Doctor says chloroquine cures COVID-19 and wearing masks can turn your blood into acid, which can help the proliferation of the novel coronavirus.",0
IMSS training on prevention must be paid COVID-19,0
Infrared thermometers cause brain damage.,0
"LiquigÃ¡s, a Brazilian energy company, is giving out free propane canisters to people who lost their income because of COVID-19 lockdowns.",0
Henry Kissinger said that population reduction should be done by vaccines â€œfor the common goodâ€.,0
"Banana contains a lectin that is a powerful anti-COVID19 agent, blocking the virus from entering the cell. Eating a banana a day is recommended.",0
"A phrase that is attributed to the president of the Community of Madrid, Isabel DÃ­az Ayuso, who allegedly said that â€œthe deaths from coronavirus are the fault of the doctors and not mine.â€",0
There is microchip that will be implanted in the future coronavirus vaccine to control the population for political and economic purposes.,0
Messages stating that King Felipe VI of Spain has bought a new car of more than half a million euros â€œin the midst of the COVID-19 crisisâ€ or â€œin the midst of a pandemicâ€.,0
"Bolivia approved the use of chlorine dioxide, amid the fight against covid-19.",0
"There is a Nipah Virus outbreak in India amidst coronavirus pandemic, according to a warning form the WHO.",0
Vibrations heal and prevent coronavirus.,0
Brazilian congressman JoÃ£o Campos denied using elections fund in measures to prevent COVID-19.,0
"A new pandemic has started in China, and there are already cases in Europe and in other Asian countries. A type of swine flu is spreading to humans.",0
"Raissa Soares, a doctor in Bahia, was fired from a state hospital under orders from Rui Costa, Bahiaâ€™s state governor. She was dismissed becaused she favoured the use of hydroxychloroquine against COVID-19.",0
Oximeters can take your fingerprints and therefore steal your personal data.,0
"A new pandemic has started in China, and there are already cases in Europe and in other Asian countries. A type of swine flu is spreading to humans.",0
Dabangg-3 actor Javed Hyder is selling vegetables for a living due to lockdown.,0
Melon and orange are effective medicines against COVID-19.,0
A post claiming a COVID-19 treatment available for just Rs 600 in India.,0
A post against vaccines and a future coronavirus vaccine shows the Prime minister of Australia pretending to get a vaccine but not actually getting it.,0
"SÃ£o Pauloâ€™s mayor bought 38,000 coffins with no public bidding.",0
"The Covid-19 protocol at Ã‰vora Maternity, in Portugal, consists of â€œcovering the patientâ€™s head with a bagâ€.",0
U.S. hospital laboratories falsify COVID-19 tests to inflate the number of positive results. Nurses sent unused swabs for COVID-19 testing and they all came back positive.,0
The presidente of Salvador said that prisioners have no rights during coronavirus pandemic.,0
Doctorâ€™s Claim That â€˜No One Has Died From The Coronavirusâ€™ In Europe Is NOT True,0
5G base stations were created in Izmir during the new coronavirus epidemic period,0
The prime minister of Australia was caught on video pretending to receive a vaccine against COVID-19.,0
"A graphic that the Argentine president, Alberto FernÃ¡ndez, showed about the fall in GDP and the deaths by country.",0
"A post, shared as a tale on COVID-19, featuring a photograph of a soldier carrying a donkey on his back claims the image is from World War II and the serviceman is carrying the animal through a minefield.",0
"A picture allegedly shot in Brazil which would show a row of black bags containing corpses, and a man who is easily moving one of them using just one arm.",0
"A picture allegedly shot in Brazil which would show a row of black bags containing corpses, and a man who is easily moving one of them using just one arm.",0
"SÃ£o Pauloâ€™s mayor bought 38,000 coffins with no public bidding.",0
A videos shared on social media saying that drinking methanol prevents the spread of COVID19.,0
Xiaomi is distributing free smartphones to students who are currently under lockdown and need a phone to study.,0
A video claiming that Italian newscasts broadcasted fake pictures and/or videos of coffins in Bergamo during the Covid-19 pandemic.,0
COVID-19 exposure notification from Google & Apple is a sensor inserted to trace every phone.,0
Brazilian Supreme Court ruled that President Bolsonaro couldnâ€™t determine actions to combat the pandemic of the new coronavirus.,0
An email from the Colombian Ministry of Health informing citizens they must take a compulsory COVID-19 test.,0
Video shows the dead bodies of Covid-19 patients being dumped in the ocean in Mexico.,0
Gas sensors show that wearing a face mask leads to oxygen deficiency and carbon dioxide toxicity.,0
Video of a doctor hitting a COVID-19 patient. The doctorâ€™s blows are believed to have killed him,0
The UN wants to â€˜imposeâ€™ abortion using the coronavirus as an excuse.,0
A website URL being circulated to claim Rs.2000 aid from the Indian government to its population as COVID-19 relief.,0
Brazilian Supreme Court decided that the federal government has no responsability in combating the COVID-19 crisis; this should be done by state and municipal governments.,0
A video on social networks in which you can see how two policemen removed a person from inside a grave. The message with which the images are shared claim that this is a man who had allegedly died with a coronavirus in Brazil and who had been buried alive.,0
An email from the Colombian Ministry of Health informing citizens they must take a compulsory COVID-19 test.,0
Xiaomi is distributing free smartphones to students who are currently under lockdown and need a phone to study.,0
"Denis Mukwege, Nobel Award laureate, resigned his post as head of a commitee to deal with the pandemic after being asked to forge the number of COVID-19 cases and deaths.",0
Livfavir and Fabiflu are both medicines that can be used to treat COVID-19.,0
Brazilian MPs unveiled the biggest COVID-19 hoax so far,0
Hydroyichloroquine prevents patients from developing the worst kind of COVID-19,0
A Facebook post by a â€œSerena Williamsâ€ has been interpreted by some as being from the tennis champ.,0
Gargling with baking soda kills coronavirus.,0
